buggy_code,fixed_code
"submittedNode.get(""values"") != null","submittedNode.get(""values"") == null"
"Arrays.asList(""ls"",""pwd"")","Arrays.asList(""cmd"",""ls"",""pwd"")"
"Arrays.asList(""ls"",""pwd"")","Arrays.asList(""cmd"",""ls"",""pwd"")"
"taskService.createTaskQuery().or().taskInvolvedUser(""involvedUser"").taskInvolvedGroups(groups)","taskService.createTaskQuery().or().taskInvolvedUser(""involvedUser"").taskInvolvedGroupsIn(groups)"
"taskService.createTaskQuery().or().taskInvolvedUser(""involvedUser"").taskInvolvedGroups(groups)","taskService.createTaskQuery().or().taskInvolvedUser(""involvedUser"").taskInvolvedGroupsIn(groups)"
"waitForJobExecutorToProcessAllJobs(3000,500)","waitForJobExecutorToProcessAllJobs(5000,500)"
"waitForJobExecutorToProcessAllJobs(3000,500)","waitForJobExecutorToProcessAllJobs(5000,500)"
"logger.error(""Error getting value for expression "" + expressionField.getExpression() + "" ""+ e.getMessage())","logger.error(""Error getting value for expression "" + expressionField.getExpression() + "" ""+ e.getMessage(),e)"
variables.putAll(variables),variables.putAll(transientVariabes)
DATABASE_TYPE_MYSQL.equals(databaseType),DATABASE_TYPE_MSSQL.equals(databaseType)
DATABASE_TYPE_MYSQL.equals(databaseType),DATABASE_TYPE_MSSQL.equals(databaseType)
new Long(3),new Long(4)
"log.debug(""Error while closing command context"",exception)","log.error(""Error while closing command context"",exception)"
"log.debug(""Error while closing command context"",exception)","log.error(""Error while closing command context"",exception)"
"log.debug(""Error while closing command context"",exception)","log.error(""Error while closing command context"",exception)"
"log.debug(""Error while closing command context"",exception)","log.error(""Error while closing command context"",exception)"
"log.debug(""Error while closing command context"",exception)","log.error(""Error while closing command context"",exception)"
"log.debug(""Error while closing command context"",exception)","log.error(""Error while closing command context"",exception)"
getDatabaseSchema() != null,getDatabaseSchema() != null && getDatabaseSchema().length() > 0
getDatabaseCatalog() != null,getDatabaseCatalog() != null && getDatabaseCatalog().length() > 0
"waitForJobExecutorToProcessAllJobsAndExecutableTimerJobs(10000,200)","executeJobExecutorForTime(10000,200)"
"waitForJobExecutorToProcessAllJobsAndExecutableTimerJobs(10000,200)","executeJobExecutorForTime(10000,200)"
"waitForJobExecutorToProcessAllJobsAndExecutableTimerJobs(10000,200)","executeJobExecutorForTime(10000,200)"
"waitForJobExecutorToProcessAllJobsAndExecutableTimerJobs(10000,200)","executeJobExecutorForTime(10000,200)"
"calendar.set(Calendar.YEAR,2200)","calendar.set(Calendar.YEAR,2030)"
"calendar.set(Calendar.YEAR,2200)","calendar.set(Calendar.YEAR,2030)"
"waitForJobExecutorToProcessAllJobsAndExecutableTimerJobs(10000,200)","waitForJobExecutorToProcessAllJobsAndExecutableTimerJobs(20000,200)"
"executionListenerContextCloseListener.addClosedExecutionListener(executionListener,execution,executionVariablesToUse,customPropertiesMapToUse)","executionListenerContextCloseListener.addCloseFailedExecutionListener(executionListener,execution,executionVariablesToUse,customPropertiesMapToUse)"
"executionListenerContextCloseListener.addClosedExecutionListener(executionListener,execution,executionVariablesToUse,customPropertiesMapToUse)","executionListenerContextCloseListener.addCloseFailedExecutionListener(executionListener,execution,executionVariablesToUse,customPropertiesMapToUse)"
xtw.writeCharacters(customProperty.getSimpleValue()),xtw.writeCData(customProperty.getSimpleValue())
xtw.writeCharacters(customProperty.getSimpleValue()),xtw.writeCData(customProperty.getSimpleValue())
xtw.writeCharacters(customProperty.getSimpleValue()),xtw.writeCData(customProperty.getSimpleValue())
xtw.writeCharacters(customProperty.getSimpleValue()),xtw.writeCData(customProperty.getSimpleValue())
execution.getJobs().remove(this),execution.getJobs().remove(jobEntity)
"new GetExecutionVariableInstancesCmd(executionId,variableNames,false)","new GetExecutionVariableInstancesCmd(executionId,variableNames,true)"
"new GetExecutionVariableInstancesCmd(executionId,variableNames,false,locale,withLocalizationFallback)","new GetExecutionVariableInstancesCmd(executionId,variableNames,true,locale,withLocalizationFallback)"
"new GetExecutionVariableInstancesCmd(executionId,variableNames,false)","new GetExecutionVariableInstancesCmd(executionId,variableNames,true)"
"new GetExecutionVariableInstancesCmd(executionId,variableNames,false,locale,withLocalizationFallback)","new GetExecutionVariableInstancesCmd(executionId,variableNames,true,locale,withLocalizationFallback)"
StringUtils.isEmpty(formKey),StringUtils.isEmpty(finalFormKey)
StringUtils.isEmpty(formKey),StringUtils.isEmpty(finalFormKey)
bulkInsertableMap.get(entityClass),bulkInsertableMap.get(persistentObjectClass)
bulkInsertableMap.get(persistentObjectClass),bulkInsertableMap.containsKey(persistentObjectClass)
bulkInsertableMap.get(persistentObjectClass),bulkInsertableMap.containsKey(persistentObjectClass)
processInstanceArray.size() == 0,processInstanceArray.size() == 0 && StringUtils.isNotEmpty(callActivityBehavior.getProcessDefinitonKey())
processInstanceArray.size() == 0,processInstanceArray.size() == 0 && StringUtils.isNotEmpty(callActivityBehavior.getProcessDefinitonKey())
IOUtils.toString(stencilsetStream),"IOUtils.toString(stencilsetStream,""utf-8"")"
idAnnotation != null,idAnnotation != null && !method.isBridge()
idAnnotation != null,idAnnotation != null && !method.isBridge()
entity instanceof ProcessDefinition,entity instanceof ProcessDefinitionEntity
entity instanceof ProcessDefinition,entity instanceof ProcessDefinitionEntity
IOUtils.toString(stencilsetStream),"IOUtils.toString(stencilsetStream,""utf-8"")"
idAnnotation != null,idAnnotation != null && !method.isBridge()
"new ContinueProcessOperation(this,execution,true)","new ContinueProcessOperation(commandContext,execution,true)"
"log.error(""activitiy or FailedJobRetryTimerCycleValue is null in job "" + jobId + ""'. only decrementing retries."")","log.info(""activitiy or FailedJobRetryTimerCycleValue is null in job "" + jobId + ""'. only decrementing retries."")"
"log.error(""activitiy or FailedJobRetryTimerCycleValue is null in job "" + jobId + ""'. only decrementing retries."")","log.info(""activitiy or FailedJobRetryTimerCycleValue is null in job "" + jobId + ""'. only decrementing retries."")"
"log.error(""activitiy or FailedJobRetryTimerCycleValue is null in job "" + jobId + ""'. only decrementing retries."")","log.info(""activitiy or FailedJobRetryTimerCycleValue is null in job "" + jobId + ""'. only decrementing retries."")"
"log.error(""activitiy or FailedJobRetryTimerCycleValue is null in job "" + jobId + ""'. only decrementing retries."")","log.info(""activitiy or FailedJobRetryTimerCycleValue is null in job "" + jobId + ""'. only decrementing retries."")"
DefaultManagementAgent.class,DefaultManagementMBeanAssembler.class
DefaultManagementAgent.class,MBeanInfoAssembler.class
DefaultManagementAgent.class,DefaultManagementMBeanAssembler.class
DefaultManagementAgent.class,MBeanInfoAssembler.class
processEngineConfiguration.setEnableSafeBpmnXml(false),processEngineConfiguration.setEnableSafeBpmnXml(true)
"assertEquals(0,beanInfo.getAttributes().length)","assertEquals(2,beanInfo.getAttributes().length)"
"assertEquals(0,beanInfo.getOperations().length)","assertEquals(1,beanInfo.getOperations().length)"
dbSqlSessionFactory.getDatabaseCatalog() != null,dbSqlSessionFactory.getDatabaseCatalog() != null && dbSqlSessionFactory.getDatabaseCatalog().length() > 0
dbSqlSessionFactory.getDatabaseSchema() != null,dbSqlSessionFactory.getDatabaseSchema() != null && dbSqlSessionFactory.getDatabaseSchema().length() > 0
new Date(0),new Date(1)
new Date(0),new Date(1)
new Date(0),new Date(1)
executionManager.findChildExecutionsByParentExecutionId(processInstanceId),executionManager.findChildExecutionsByProcessInstanceId(processInstanceId)
executionManager.findChildExecutionsByParentExecutionId(processInstanceId),executionManager.findChildExecutionsByProcessInstanceId(processInstanceId)
AcquireJobsRunnable.class,ExecuteJobsRunnable.class
processDefinition.getTenantId() == null,processDefinition.getTenantId() == null || ProcessEngineConfiguration.NO_TENANT_ID.equals(processDefinition.getTenantId())
processDefinition.getTenantId() == null,processDefinition.getTenantId() == null || ProcessEngineConfiguration.NO_TENANT_ID.equals(processDefinition.getTenantId())
deployOneTaskProcess(),deployOneTaskTestProcess()
deployOneTaskProcess(),deployOneTaskTestProcess()
deployOneTaskProcess(),deployOneTaskTestProcess()
deployOneTaskProcess(),deployOneTaskTestProcess()
"log.error(""Error while closing command context"",exception)","log.debug(""Error while closing command context"",exception)"
"log.error(""Error while closing command context"",exception)","log.debug(""Error while closing command context"",exception)"
"assertResultsPresentInDataResponse(url,timerJob.getId())","assertResultsPresentInDataResponse(url,asyncJob.getId(),timerJob.getId())"
processEngineConfiguration.getCommandExecutorTxRequiresNew(),processEngineConfiguration.getCommandExecutor()
processEngineConfiguration.getCommandExecutorTxRequiresNew(),processEngineConfiguration.getCommandExecutor()
processEngineConfiguration.getCommandExecutorTxRequiresNew(),processEngineConfiguration.getCommandExecutor()
processEngineConfiguration.getCommandExecutorTxRequiresNew(),processEngineConfiguration.getCommandExecutor()
ExceptionUtils.getFullStackTrace(th),ExceptionUtils.getStackTrace(th)
ExceptionUtils.getFullStackTrace(th),ExceptionUtils.getStackTrace(th)
request.getTaskDefinitionKey(),request.getDueDate()
request.getTaskDefinitionKey(),request.getDueDate()
request.getTaskDefinitionKey(),request.getDueBefore()
request.getTaskDefinitionKey(),request.getDueBefore()
request.getTaskDefinitionKey(),request.getDueAfter()
request.getTaskDefinitionKey(),request.getDueAfter()
processInstance.getId(),processInstance.getProcessDefinitionId()
processInstance.getId(),processInstance.getProcessDefinitionId()
srcActivity.getParent() == null,srcActivity.getParent() == null || !(srcActivity.getParent() instanceof PvmActivity)
srcActivity.getParent() == null,srcActivity.getParent() == null || !(srcActivity.getParent() instanceof PvmActivity)
new DatabaseFormatterOracle(),new DatabaseFormatterDb2()
new DatabaseFormatterOracle(),new DatabaseFormatterPostgres()
"assertEquals(2,historyService.createHistoricActivityInstanceQuery().processInstanceId(processInstance.getId()).count())","assertEquals(3,historyService.createHistoricActivityInstanceQuery().processInstanceId(processInstance.getId()).count())"
"assertEquals(2,historyService.createHistoricActivityInstanceQuery().executionId(processInstance.getId()).list().size())","assertEquals(3,historyService.createHistoricActivityInstanceQuery().executionId(processInstance.getId()).list().size())"
"assertEquals(1,historyService.createHistoricActivityInstanceQuery().executionId(processInstance.getId()).list().size())","assertEquals(3,historyService.createHistoricActivityInstanceQuery().executionId(processInstance.getId()).list().size())"
"assertEquals(2,historyService.createHistoricActivityInstanceQuery().processInstanceId(processInstance.getId()).list().size())","assertEquals(3,historyService.createHistoricActivityInstanceQuery().processInstanceId(processInstance.getId()).list().size())"
"assertEquals(1,historyService.createHistoricActivityInstanceQuery().processInstanceId(processInstance.getId()).list().size())","assertEquals(3,historyService.createHistoricActivityInstanceQuery().processInstanceId(processInstance.getId()).list().size())"
"assertEquals(2,historyService.createHistoricActivityInstanceQuery().processDefinitionId(processInstance.getProcessDefinitionId()).list().size())","assertEquals(3,historyService.createHistoricActivityInstanceQuery().processDefinitionId(processInstance.getProcessDefinitionId()).list().size())"
"assertEquals(1,historyService.createHistoricActivityInstanceQuery().processDefinitionId(processInstance.getProcessDefinitionId()).list().size())","assertEquals(3,historyService.createHistoricActivityInstanceQuery().processDefinitionId(processInstance.getProcessDefinitionId()).list().size())"
"assertEquals(2,historyService.createHistoricActivityInstanceQuery().finished().list().size())","assertEquals(3,historyService.createHistoricActivityInstanceQuery().finished().list().size())"
"assertEquals(1,historyService.createHistoricActivityInstanceQuery().finished().list().size())","assertEquals(3,historyService.createHistoricActivityInstanceQuery().finished().list().size())"
applicationContext != null,processEngineConfiguration.getExpressionManager() == null && applicationContext != null
1,1025
taskService.createTaskQuery().orderByTaskId(),taskService.createTaskQuery().orderByExecutionId()
taskService.createTaskQuery().orderByTaskId(),taskService.createTaskQuery().orderByExecutionId()
exclude,!exclude
TestSuite testSuite=new TestSuite(testClass); ,ServletTestSuite testSuite=new ServletTestSuite(testClass); 
new ReadonlyMapELResolver(beans),new ReadOnlyMapELResolver(beans)
bytesRead != 0,bytesRead == 0
"LOG.warn(""Failed to send receipt of data to worker {} for request {}: {}."",mAddress,mReadRequest,e.getMessage())","LOG.debug(""Failed to send receipt of data to worker {} for request {}: {}."",mAddress,mReadRequest,e.getMessage())"
"LOG.warn(""Failed to send receipt of data to worker {} for request {}: {}."",mAddress,mReadRequest,e.getMessage())","LOG.debug(""Failed to send receipt of data to worker {} for request {}: {}."",mAddress,mReadRequest,e.getMessage())"
URIStatus::getBlockSizeBytes,URIStatus::getLength
RaftJournalSystem.class,JournalStateMachine.class
"LOG.info(""Ignoring duplicate journal entry with SN {} when next SN is {}"",newSN,mNextSequenceNumberToRead)","LOG.debug(""Ignoring duplicate journal entry with SN {} when next SN is {}"",newSN,mNextSequenceNumberToRead)"
"LOG.info(""Ignoring duplicate journal entry with SN {} when next SN is {}"",newSN,mNextSequenceNumberToRead)","LOG.debug(""Ignoring duplicate journal entry with SN {} when next SN is {}"",newSN,mNextSequenceNumberToRead)"
Configuration.getLong(PropertyKey.USER_FILE_LOAD_TTL),Configuration.getMs(PropertyKey.USER_FILE_LOAD_TTL)
Configuration.getLong(PropertyKey.USER_FILE_LOAD_TTL),Configuration.getMs(PropertyKey.USER_FILE_LOAD_TTL)
Configuration.getLong(PropertyKey.USER_FILE_LOAD_TTL),Configuration.getMs(PropertyKey.USER_FILE_LOAD_TTL)
Configuration.getLong(PropertyKey.USER_FILE_LOAD_TTL),Configuration.getMs(PropertyKey.USER_FILE_LOAD_TTL)
(short)600,(short)0600
(short)777,(short)0777
(short)655,(short)0655
mLockMode == InodeTree.LockMode.READ,lockMode == InodeTree.LockMode.READ
mLockMode == InodeTree.LockMode.READ,lockMode == InodeTree.LockMode.READ
e.getMessage(),e.toString()
e.getMessage(),e.toString()
Preconditions.checkNotNull(location),"Preconditions.checkNotNull(location,""location"")"
retry.attemptRetry(),retry.attempt()
retry.attemptRetry(),retry.attempt()
